epsilon,attack_type,norm_type,targeted,step_rule,accuracy,total_queries
0.005,fw,-1,True,lipschitz_mnist,1.0,1948
0.005,fw,-1,True,decay,1.0,1948
0.005,fw,-1,True,amjo,1.0,1948
0.005,fw,-1,True,ls,1.0,1948
0.005,fw,-1,False,lipschitz_mnist,1.0,1876
0.005,fw,-1,False,decay,1.0,1861
0.005,fw,-1,False,amjo,1.0,1876
0.005,fw,-1,False,ls,1.0,1876
0.005,fw,1,True,lipschitz_mnist,0.09,202
0.005,fw,1,True,decay,0.09,202
0.005,fw,1,True,amjo,0.09,202
0.005,fw,1,True,ls,0.23,205
0.005,fw,1,False,lipschitz_mnist,0.09,202
0.005,fw,1,False,decay,0.09,202
0.005,fw,1,False,amjo,0.09,202
0.005,fw,1,False,ls,0.09,202
0.005,fw,2,True,lipschitz_mnist,1.0,170
0.005,fw,2,True,decay,1.0,170
0.005,fw,2,True,amjo,1.0,170
0.005,fw,2,True,ls,1.0,170
0.005,fw,2,False,lipschitz_mnist,1.0,124
0.005,fw,2,False,decay,1.0,124
0.005,fw,2,False,amjo,1.0,124
0.005,fw,2,False,ls,1.0,124
0.005,fw_away,-1,True,lipschitz_mnist,1.0,2002
0.005,fw_away,-1,True,decay,1.0,2002
0.005,fw_away,-1,True,amjo,1.0,2002
0.005,fw_away,-1,True,ls,1.0,2002
0.005,fw_away,-1,False,lipschitz_mnist,1.0,2002
0.005,fw_away,-1,False,decay,1.0,2002
0.005,fw_away,-1,False,amjo,1.0,2002
0.005,fw_away,-1,False,ls,1.0,2002
0.005,fw_away,1,True,lipschitz_mnist,0.09,2002
0.005,fw_away,1,True,decay,0.09,2002
0.005,fw_away,1,True,amjo,0.09,2002
0.005,fw_away,1,True,ls,0.25,2002
0.005,fw_away,1,False,lipschitz_mnist,0.09,2002
0.005,fw_away,1,False,decay,0.09,2002
0.005,fw_away,1,False,amjo,0.09,2002
0.005,fw_away,1,False,ls,0.09,2002
0.005,fw_away,2,True,lipschitz_mnist,1.0,2002
0.005,fw_away,2,True,decay,1.0,2002
0.005,fw_away,2,True,amjo,1.0,2002
0.005,fw_away,2,True,ls,1.0,2002
0.005,fw_away,2,False,lipschitz_mnist,1.0,2002
0.005,fw_away,2,False,decay,1.0,2002
0.005,fw_away,2,False,amjo,1.0,2002
0.005,fw_away,2,False,ls,1.0,2002
0.005,fw_pair,-1,True,lipschitz_mnist,1.0,1948
0.005,fw_pair,-1,True,decay,1.0,1948
0.005,fw_pair,-1,True,amjo,1.0,1948
0.005,fw_pair,-1,True,ls,1.0,1948
0.005,fw_pair,-1,False,lipschitz_mnist,1.0,1876
0.005,fw_pair,-1,False,decay,1.0,1866
0.005,fw_pair,-1,False,amjo,1.0,1860
0.005,fw_pair,-1,False,ls,1.0,1858
0.005,fw_pair,1,True,lipschitz_mnist,0.09,202
0.005,fw_pair,1,True,decay,0.09,202
0.005,fw_pair,1,True,amjo,0.09,202
0.005,fw_pair,1,True,ls,0.24,205
0.005,fw_pair,1,False,lipschitz_mnist,0.09,202
0.005,fw_pair,1,False,decay,0.09,202
0.005,fw_pair,1,False,amjo,0.09,202
0.005,fw_pair,1,False,ls,0.09,202
0.005,fw_pair,2,True,lipschitz_mnist,1.0,170
0.005,fw_pair,2,True,decay,1.0,170
0.005,fw_pair,2,True,amjo,1.0,170
0.005,fw_pair,2,True,ls,1.0,170
0.005,fw_pair,2,False,lipschitz_mnist,1.0,124
0.005,fw_pair,2,False,decay,1.0,124
0.005,fw_pair,2,False,amjo,1.0,124
0.005,fw_pair,2,False,ls,1.0,124
0.01,fw,-1,True,lipschitz_mnist,1.0,2002
0.01,fw,-1,True,decay,1.0,2002
0.01,fw,-1,True,amjo,1.0,2002
0.01,fw,-1,True,ls,1.0,2002
0.01,fw,-1,False,lipschitz_mnist,0.99,1984
0.01,fw,-1,False,decay,0.99,1969
0.01,fw,-1,False,amjo,0.99,1984
0.01,fw,-1,False,ls,0.99,1984
0.01,fw,1,True,lipschitz_mnist,0.09,202
0.01,fw,1,True,decay,0.09,202
0.01,fw,1,True,amjo,0.09,202
0.01,fw,1,True,ls,0.23,205
0.01,fw,1,False,lipschitz_mnist,0.09,202
0.01,fw,1,False,decay,0.09,202
0.01,fw,1,False,amjo,0.09,202
0.01,fw,1,False,ls,0.09,202
0.01,fw,2,True,lipschitz_mnist,1.0,202
0.01,fw,2,True,decay,1.0,202
0.01,fw,2,True,amjo,1.0,202
0.01,fw,2,True,ls,1.0,202
0.01,fw,2,False,lipschitz_mnist,1.0,202
0.01,fw,2,False,decay,1.0,202
0.01,fw,2,False,amjo,1.0,202
0.01,fw,2,False,ls,1.0,202
0.01,fw_away,-1,True,lipschitz_mnist,1.0,2002
0.01,fw_away,-1,True,decay,1.0,2002
0.01,fw_away,-1,True,amjo,1.0,2002
0.01,fw_away,-1,True,ls,1.0,2002
0.01,fw_away,-1,False,lipschitz_mnist,0.99,2002
0.01,fw_away,-1,False,decay,0.99,2002
0.01,fw_away,-1,False,amjo,0.99,2002
0.01,fw_away,-1,False,ls,0.99,2002
0.01,fw_away,1,True,lipschitz_mnist,0.09,2002
0.01,fw_away,1,True,decay,0.09,2002
0.01,fw_away,1,True,amjo,0.09,2002
0.01,fw_away,1,True,ls,0.25,2002
0.01,fw_away,1,False,lipschitz_mnist,0.09,2002
0.01,fw_away,1,False,decay,0.09,2002
0.01,fw_away,1,False,amjo,0.09,2002
0.01,fw_away,1,False,ls,0.09,2002
0.01,fw_away,2,True,lipschitz_mnist,1.0,2002
0.01,fw_away,2,True,decay,1.0,2002
0.01,fw_away,2,True,amjo,1.0,2002
0.01,fw_away,2,True,ls,1.0,2002
0.01,fw_away,2,False,lipschitz_mnist,1.0,2002
0.01,fw_away,2,False,decay,1.0,2002
0.01,fw_away,2,False,amjo,1.0,2002
0.01,fw_away,2,False,ls,1.0,2002
0.01,fw_pair,-1,True,lipschitz_mnist,1.0,2002
